time,open,high,low,close,volume
2022-04-04 20:00:00,369.02,369.02,368.95,368.95,15548
2022-04-04 19:55:00,369.01,369.03,369.0,369.02,18789
2022-04-04 19:50:00,369.14,369.14,369.01,369.01,4361
2022-04-04 19:45:00,369.19,369.19,369.11,369.1104,1227
2022-04-04 19:40:00,369.16,369.18,369.13,369.18,10855
2022-04-04 19:35:00,369.08,369.14,369.08,369.14,5012
2022-04-04 19:30:00,369.03,369.03,369.01,369.01,1324
2022-04-04 19:25:00,369.07,369.07,369.0,369.0004,3066
2022-04-04 19:20:00,369.05,369.07,369.05,369.07,1473
2022-04-04 19:15:00,369.11,369.11,369.05,369.06,7584
2022-04-04 19:10:00,369.06,369.09,369.05,369.09,810
2022-04-04 19:05:00,369.1,369.1,369.1,369.1,1864
2022-04-04 19:00:00,369.06,369.06,369.05,369.06,1718
2022-04-04 18:55:00,369.05,369.05,368.99,369.02,2136
2022-04-04 18:50:00,369.0,369.06,369.0,369.05,2186
2022-04-04 18:45:00,369.0,369.02,368.98,369.0,3487
2022-04-04 18:40:00,369.01,369.02,368.97,368.98,8918
2022-04-04 18:35:00,369.11,369.11,369.02,369.02,4926
2022-04-04 18:30:00,369.07,369.11,369.06,369.11,5806
2022-04-04 18:25:00,369.07,369.07,369.07,369.07,154
2022-04-04 18:20:00,369.11,369.15,369.11,369.13,3336
2022-04-04 18:15:00,369.05,369.06,369.04,369.06,1133
2022-04-04 18:10:00,369.11,369.11,369.07,369.11,1608
2022-04-04 18:05:00,369.11,369.12,369.08,369.12,1655
2022-04-04 18:00:00,369.11,369.17,369.11,369.11,2547
2022-04-04 17:55:00,369.11,369.2,369.11,369.2,6844
2022-04-04 17:50:00,369.11,369.14,369.11,369.14,1759
2022-04-04 17:45:00,369.1,369.1,369.06,369.06,633
2022-04-04 17:40:00,369.13,369.13,369.0,369.0,10053
2022-04-04 17:35:00,369.2,369.2,369.13,369.13,6730
2022-04-04 17:30:00,369.2,369.2,369.18,369.19,2327
2022-04-04 17:25:00,369.18,369.2,369.15,369.15,2654
2022-04-04 17:20:00,369.23,369.23,369.16,369.23,29382
2022-04-04 17:15:00,369.26,369.26,369.26,369.26,327
2022-04-04 17:10:00,369.24,369.25,369.24,369.24,2751
2022-04-04 17:05:00,369.16,369.25,369.16,369.25,767
2022-04-04 17:00:00,369.27,369.27,369.06,369.06,15679
2022-04-04 16:55:00,369.2,369.24,369.17,369.24,8984
2022-04-04 16:50:00,369.45,369.45,369.2,369.2,14435
2022-04-04 16:45:00,369.4,369.45,369.39,369.44,104908
2022-04-04 16:40:00,369.22,369.4,369.22,369.4,180804
2022-04-04 16:35:00,369.24,369.3,369.2,369.22,52870
2022-04-04 16:30:00,369.23,369.3,369.219,369.22,26550
2022-04-04 16:25:00,369.13,369.3,369.13,369.24,74704
2022-04-04 16:20:00,369.02,369.2,369.02,369.15,257450
2022-04-04 16:15:00,369.08,369.3,369.01,369.01,37723
