time,EMA
2022-04-04 20:00,366.7431
2022-04-04 19:55,366.7202
2022-04-04 19:50,366.6972
2022-04-04 19:45,366.6727
2022-04-04 19:40,366.6474
2022-04-04 19:35,366.6221
2022-04-04 19:30,366.5974
2022-04-04 19:25,366.5730
2022-04-04 19:20,366.5479
2022-04-04 19:15,366.5227
2022-04-04 19:10,366.4967
2022-04-04 19:05,366.4710
2022-04-04 19:00,366.4445
2022-04-04 18:55,366.4183
2022-04-04 18:50,366.3918
2022-04-04 18:45,366.3656
2022-04-04 18:40,366.3391
2022-04-04 18:35,366.3123
2022-04-04 18:30,366.2842
2022-04-04 18:25,366.2562
2022-04-04 18:20,366.2279
2022-04-04 18:15,366.1989
2022-04-04 18:10,366.1703
2022-04-04 18:05,366.1407
2022-04-04 18:00,366.1109
2022-04-04 17:55,366.0807
2022-04-04 17:50,366.0503
2022-04-04 17:45,366.0195
2022-04-04 17:40,365.9886
2022-04-04 17:35,365.9570
2022-04-04 17:30,365.9244
2022-04-04 17:25,365.8915
2022-04-04 17:20,365.8584
2022-04-04 17:15,365.8246
2022-04-04 17:10,365.7900
2022-04-04 17:05,365.7554
2022-04-04 17:00,365.7211
2022-04-04 16:55,365.6855
2022-04-04 16:50,365.6501
2022-04-04 16:45,365.6120
2022-04-04 16:40,365.5739
2022-04-04 16:35,365.5372
2022-04-04 16:30,365.5000
2022-04-04 16:25,365.4625
2022-04-04 16:20,365.4257
2022-04-04 16:15,365.3896
2022-04-04 16:10,365.3525
2022-04-04 16:05,365.3142
2022-04-04 16:00,365.2743
2022-04-04 15:55,365.2368
2022-04-04 15:50,365.2035
2022-04-04 15:45,365.1702
2022-04-04 15:40,365.1321
2022-04-04 15:35,365.0950
2022-04-04 15:30,365.0589
2022-04-04 15:25,365.0211
2022-04-04 15:20,364.9864
2022-04-04 15:15,364.9514
2022-04-04 15:10,364.9150
2022-04-04 15:05,364.8804
2022-04-04 15:00,364.8455
2022-04-04 14:55,364.8077
2022-04-04 14:50,364.7709
2022-04-04 14:45,364.7349
2022-04-04 14:40,364.6994
2022-04-04 14:35,364.6635
2022-04-04 14:30,364.6303
2022-04-04 14:25,364.6001
2022-04-04 14:20,364.5705
2022-04-04 14:15,364.5440
2022-04-04 14:10,364.5195
2022-04-04 14:05,364.4865
2022-04-04 14:00,364.4498
2022-04-04 13:55,364.4155
2022-04-04 13:50,364.3816
2022-04-04 13:45,364.3469
2022-04-04 13:40,364.3130
2022-04-04 13:35,364.2779
2022-04-04 13:30,364.2429
2022-04-04 13:25,364.2080
2022-04-04 13:20,364.1735
2022-04-04 13:15,364.1403
2022-04-04 13:10,364.1052
2022-04-04 13:05,364.0708
2022-04-04 13:00,364.0355
2022-04-04 12:55,363.9978
2022-04-04 12:50,363.9601
2022-04-04 12:45,363.9214
2022-04-04 12:40,363.8806
2022-04-04 12:35,363.8365
2022-04-04 12:30,363.7929
2022-04-04 12:25,363.7508
2022-04-04 12:20,363.7085
2022-04-04 12:15,363.6655
2022-04-04 12:10,363.6238
2022-04-04 12:05,363.5812
2022-04-04 12:00,363.5380
2022-04-04 11:55,363.4919
2022-04-04 11:50,363.4467
2022-04-04 11:45,363.4040
2022-04-04 11:40,363.3621
2022-04-04 11:35,363.3200
2022-04-04 11:30,363.2767
2022-04-04 11:25,363.2362
2022-04-04 11:20,363.1958
2022-04-04 11:15,363.1523
2022-04-04 11:10,363.1071
2022-04-04 11:05,363.0632
2022-04-04 11:00,363.0265
2022-04-04 10:55,362.9917
2022-04-04 10:50,362.9565
2022-04-04 10:45,362.9229
2022-04-04 10:40,362.8844
2022-04-04 10:35,362.8523
2022-04-04 10:30,362.8170
2022-04-04 10:25,362.7840
2022-04-04 10:20,362.7532
2022-04-04 10:15,362.7201
2022-04-04 10:10,362.6845
2022-04-04 10:05,362.6472
2022-04-04 10:00,362.6095
2022-04-04 09:55,362.5769
2022-04-04 09:50,362.5486
2022-04-04 09:45,362.5231
2022-04-04 09:40,362.5058
2022-04-04 09:35,362.5002
2022-04-04 09:30,362.4981
2022-04-04 09:25,362.4952
2022-04-04 09:20,362.4914
2022-04-04 09:15,362.4881
2022-04-04 09:10,362.4865
2022-04-04 09:05,362.4840
2022-04-04 09:00,362.4845
2022-04-04 08:55,362.4847
2022-04-04 08:50,362.4849
2022-04-04 08:45,362.4814
2022-04-04 08:40,362.4774
2022-04-04 08:35,362.4710
2022-04-04 08:30,362.4657
2022-04-04 08:25,362.4573
2022-04-04 08:20,362.4506
2022-04-04 08:15,362.4442
2022-04-04 08:10,362.4376
2022-04-04 08:05,362.4289
2022-04-04 08:00,362.4199
2022-04-04 07:55,362.4104
2022-04-04 07:50,362.4040
2022-04-04 07:45,362.3964
2022-04-04 07:40,362.3892
2022-04-04 07:35,362.3810
2022-04-04 07:30,362.3710
2022-04-04 07:25,362.3608
2022-04-04 07:20,362.3505
2022-04-04 07:15,362.3413
2022-04-04 07:10,362.3316
2022-04-04 07:05,362.3232
2022-04-04 07:00,362.3137
2022-04-04 06:55,362.3041
2022-04-04 06:50,362.2950
2022-04-04 06:45,362.2851
2022-04-04 06:40,362.2745
2022-04-04 06:35,362.2627
2022-04-04 06:30,362.2503
2022-04-04 06:25,362.2355
2022-04-04 06:20,362.2223
2022-04-04 06:15,362.2102
2022-04-04 06:10,362.1981
2022-04-04 06:05,362.1881
2022-04-04 06:00,362.1760
2022-04-04 05:55,362.1677
2022-04-04 05:50,362.1571
2022-04-04 05:45,362.1472
2022-04-04 05:40,362.1355
2022-04-04 05:35,362.1258
2022-04-04 05:30,362.1176
2022-04-04 05:25,362.1079
2022-04-04 05:20,362.0978
2022-04-04 05:15,362.0862
2022-04-04 05:10,362.0766
2022-04-04 05:05,362.0716
2022-04-04 05:00,362.0691
2022-04-04 04:55,362.0662
2022-04-04 04:50,362.0648
2022-04-04 04:45,362.0650
2022-04-04 04:40,362.0649
2022-04-04 04:35,362.0626
2022-04-04 04:30,362.0608
2022-04-04 04:25,362.0614
2022-04-04 04:20,362.0633
2022-04-04 04:15,362.0666
2022-04-04 04:10,362.0697
2022-04-04 04:05,362.0738
2022-04-01 20:00,362.0815
2022-04-01 19:55,362.0856
2022-04-01 19:50,362.0899
2022-04-01 19:45,362.0941
2022-04-01 19:35,362.0980
2022-04-01 19:30,362.1012
2022-04-01 19:25,362.1052
2022-04-01 19:15,362.1091
2022-04-01 19:10,362.1123
2022-04-01 19:00,362.1162
2022-04-01 18:40,362.1190
2022-04-01 18:35,362.1228
2022-04-01 18:25,362.1275
2022-04-01 18:20,362.1318
2022-04-01 18:15,362.1351
2022-04-01 18:10,362.1385
2022-04-01 17:55,362.1419
2022-04-01 17:50,362.1450
2022-04-01 17:45,362.1485
2022-04-01 17:40,362.1531
2022-04-01 17:35,362.1584
2022-04-01 17:30,362.1631
2022-04-01 17:25,362.1674
2022-04-01 17:20,362.1734
2022-04-01 17:15,362.1789
2022-04-01 17:10,362.1855
2022-04-01 17:05,362.1928
2022-04-01 17:00,362.1986
2022-04-01 16:55,362.2065
2022-04-01 16:50,362.2152
2022-04-01 16:45,362.2229
2022-04-01 16:40,362.2314
2022-04-01 16:35,362.2406
2022-04-01 16:30,362.2487
2022-04-01 16:25,362.2573
2022-04-01 16:20,362.2674
2022-04-01 16:15,362.2785
2022-04-01 16:10,362.2858
2022-04-01 16:05,362.2903
2022-04-01 16:00,362.2945
2022-04-01 15:55,362.3032
2022-04-01 15:50,362.3278
2022-04-01 15:45,362.3583
2022-04-01 15:40,362.3867
2022-04-01 15:35,362.4170
2022-04-01 15:30,362.4428
2022-04-01 15:25,362.4711
2022-04-01 15:20,362.4990
2022-04-01 15:15,362.5178
2022-04-01 15:10,362.5356
2022-04-01 15:05,362.5503
2022-04-01 15:00,362.5688
2022-04-01 14:55,362.5858
2022-04-01 14:50,362.5992
2022-04-01 14:45,362.6108
2022-04-01 14:40,362.6254
2022-04-01 14:35,362.6369
2022-04-01 14:30,362.6538
2022-04-01 14:25,362.6764
2022-04-01 14:20,362.6983
2022-04-01 14:15,362.7207
2022-04-01 14:10,362.7469
2022-04-01 14:05,362.7735
2022-04-01 14:00,362.8059
2022-04-01 13:55,362.8401
2022-04-01 13:50,362.8716
2022-04-01 13:45,362.9022
2022-04-01 13:40,362.9341
2022-04-01 13:35,362.9743
2022-04-01 13:30,363.0149
2022-04-01 13:25,363.0539
2022-04-01 13:20,363.0949
2022-04-01 13:15,363.1388
2022-04-01 13:10,363.1799
2022-04-01 13:05,363.2209
2022-04-01 13:00,363.2628
2022-04-01 12:55,363.3005
2022-04-01 12:50,363.3371
2022-04-01 12:45,363.3750
2022-04-01 12:40,363.4175
2022-04-01 12:35,363.4618
2022-04-01 12:30,363.4971
2022-04-01 12:25,363.5349
2022-04-01 12:20,363.5786
2022-04-01 12:15,363.6190
2022-04-01 12:10,363.6601
2022-04-01 12:05,363.7059
2022-04-01 12:00,363.7479
2022-04-01 11:55,363.7818
2022-04-01 11:50,363.8193
2022-04-01 11:45,363.8592
2022-04-01 11:40,363.8970
2022-04-01 11:35,363.9289
2022-04-01 11:30,363.9573
2022-04-01 11:25,363.9814
2022-04-01 11:20,364.0044
2022-04-01 11:15,364.0273
2022-04-01 11:10,364.0434
2022-04-01 11:05,364.0592
2022-04-01 11:00,364.0742
2022-04-01 10:55,364.0897
2022-04-01 10:50,364.1080
2022-04-01 10:45,364.1300
2022-04-01 10:40,364.1558
2022-04-01 10:35,364.1788
2022-04-01 10:30,364.2067
2022-04-01 10:25,364.2391
2022-04-01 10:20,364.2686
2022-04-01 10:15,364.2889
2022-04-01 10:10,364.3180
2022-04-01 10:05,364.3506
2022-04-01 10:00,364.3801
2022-04-01 09:55,364.4158
2022-04-01 09:50,364.4407
2022-04-01 09:45,364.4631
2022-04-01 09:40,364.4873
2022-04-01 09:35,364.5073
2022-04-01 09:30,364.5244
2022-04-01 09:25,364.5402
2022-04-01 09:20,364.5559
2022-04-01 09:15,364.5720
2022-04-01 09:10,364.5903
2022-04-01 09:05,364.6113
2022-04-01 09:00,364.6292
2022-04-01 08:55,364.6460
2022-04-01 08:50,364.6619
2022-04-01 08:45,364.6768
2022-04-01 08:40,364.6880
2022-04-01 08:35,364.7009
2022-04-01 08:30,364.7093
2022-04-01 08:25,364.7162
2022-04-01 08:20,364.7238
2022-04-01 08:15,364.7326
2022-04-01 08:10,364.7400
2022-04-01 08:05,364.7493
2022-04-01 08:00,364.7574
2022-04-01 07:55,364.7651
2022-04-01 07:50,364.7732
2022-04-01 07:45,364.7830
2022-04-01 07:40,364.7929
2022-04-01 07:35,364.8024
2022-04-01 07:30,364.8133
2022-04-01 07:25,364.8237
2022-04-01 07:20,364.8355
2022-04-01 07:15,364.8470
2022-04-01 07:10,364.8573
2022-04-01 07:05,364.8673
2022-04-01 07:00,364.8759
2022-04-01 06:55,364.8862
2022-04-01 06:50,364.8964
2022-04-01 06:45,364.9063
2022-04-01 06:40,364.9154
2022-04-01 06:35,364.9235
2022-04-01 06:30,364.9312
2022-04-01 06:25,364.9393
2022-04-01 06:20,364.9477
2022-04-01 06:15,364.9561
2022-04-01 06:10,364.9639
2022-04-01 06:05,364.9734
2022-04-01 06:00,364.9832
2022-04-01 05:55,364.9946
2022-04-01 05:50,365.0073
2022-04-01 05:45,365.0197
2022-04-01 05:40,365.0316
2022-04-01 05:35,365.0423
2022-04-01 05:30,365.0579
2022-04-01 05:25,365.0744
2022-04-01 05:20,365.0937
2022-04-01 05:15,365.1122
2022-04-01 05:10,365.1321
2022-04-01 05:05,365.1507
2022-04-01 05:00,365.1672
2022-04-01 04:50,365.1836
2022-04-01 04:45,365.1975
2022-04-01 04:40,365.2143
2022-04-01 04:35,365.2310
2022-04-01 04:30,365.2486
2022-04-01 04:25,365.2648
2022-04-01 04:20,365.2821
2022-04-01 04:15,365.3005
2022-04-01 04:10,365.3170
2022-04-01 04:05,365.3321
2022-03-31 20:00,365.3492
2022-03-31 19:55,365.3715
2022-03-31 19:50,365.3945
2022-03-31 19:45,365.4161
2022-03-31 19:40,365.4382
2022-03-31 19:35,365.4609
2022-03-31 19:30,365.4834
2022-03-31 19:25,365.5069
2022-03-31 19:20,365.5300
2022-03-31 19:15,365.5535
2022-03-31 19:10,365.5780
2022-03-31 19:05,365.6027
2022-03-31 19:00,365.6273
2022-03-31 18:55,365.6524
2022-03-31 18:50,365.6772
2022-03-31 18:45,365.7023
2022-03-31 18:40,365.7283
2022-03-31 18:35,365.7549
2022-03-31 18:30,365.7833
2022-03-31 18:25,365.8119
2022-03-31 18:20,365.8407
2022-03-31 18:15,365.8686
2022-03-31 18:10,365.8954
2022-03-31 18:05,365.9219
2022-03-31 18:00,365.9500
2022-03-31 17:55,365.9792
2022-03-31 17:50,366.0086
2022-03-31 17:45,366.0383
2022-03-31 17:40,366.0687
2022-03-31 17:35,366.0993
2022-03-31 17:30,366.1290
2022-03-31 17:25,366.1585
2022-03-31 17:20,366.1886
2022-03-31 17:15,366.2192
2022-03-31 17:10,366.2502
2022-03-31 17:05,366.2812
2022-03-31 17:00,366.3121
2022-03-31 16:55,366.3427
2022-03-31 16:50,366.3729
2022-03-31 16:45,366.4031
2022-03-31 16:40,366.4347
2022-03-31 16:35,366.4682
2022-03-31 16:30,366.5030
2022-03-31 16:25,366.5403
2022-03-31 16:20,366.5742
2022-03-31 16:15,366.6076
2022-03-31 16:10,366.6461
2022-03-31 16:05,366.6890
2022-03-31 16:00,366.7359
2022-03-31 15:55,366.7773
2022-03-31 15:50,366.8027
2022-03-31 15:45,366.8304
2022-03-31 15:40,366.8520
2022-03-31 15:35,366.8782
